,Genome,Laptime
0,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
1,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
3,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.7999999996359
4,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
5,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
6,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
7,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
8,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
9,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
10,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
11,"[0.747353895467787, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",563.5999999996325
12,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
13,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
14,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
15,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
16,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.7977668586353102]",562.6199999996334
17,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
18,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
19,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
20,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
21,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
22,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
23,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
24,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8699999996313
25,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
26,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
27,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
28,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
29,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
30,"[0.40798835443731507, 3.2836213765628983, 37.96099222351639, 7, 0, 0.38373060875811493]",578.1799999996192
31,"[0.40798835443731507, 3.2836213765628983, 37.96099222351639, 5, 0, 0.38373060875811493]",578.1799999996192
32,"[0.747353895467787, 1.2328233974329237, 50.30272993888322, 3, 1, 0.30638642620993406]",693.4799999995143
33,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
34,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",564.5299999996316
35,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.11252731947216299]",596.2199999996028
36,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
37,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
38,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 1, 0.7977668586353102]",557.9499999996376
