,Genome,Laptime
0,"[0.8824920891351306, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",575.7199999996215
1,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 3, 0, 0.7977668586353102]",559.1199999996365
2,"[0.40798835443731507, 0.5635308866123605, 37.96099222351639, 5, 0, 0.14085919258381896]",599.0999999996002
3,"[0.747353895467787, 0.5635308866123605, 34.35340651506313, 5, 0, 0.2735743580180998]",621.5199999995798
4,"[0.747353895467787, 1.455440244043705, 52.56734237985984, 5, 1, 0.041096641086659225]",615.8799999995849
5,"[0.22015495410334784, 1.455440244043705, 5.749076152401301, 2, 1, 0.900606824803333]",619.2599999995819
6,"[0.9169022398508523, 2.1148397291467393, 7.433286329816028, 15, 0, 0.1253942666674105]",619.7699999995814
7,"[0.995683982891057, 2.1148397291467393, 21.444340866728425, 4, 3, 0.03809102615034843]",669.0099999995366
8,"[0.043290063706541204, 1.8693995589508936, 78.53583435479172, 14, 12, 0.016513476590283904]",659.3899999995454
9,"[0.06099572942318343, 2.1764636567819946, 0.49113258239205493, 7, 1, 0.2881589319550084]",638.6699999995642
10,"[0.06099572942318343, 2.1764636567819946, 29.415701190072532, 5, 1, 0.38373060875811493]",597.6999999996015
11,"[0.493470755146605, 1.0299121768771928, 6.848894798099423, 1, 3, 0.17043326720828522]",679.9499999995267
12,"[0.493470755146605, 0.4673869418069061, 31.46958927527453, 14, 3, 0.16949339911700056]",709.6099999994997
13,"[0.01936464802830573, 1.1546854667207511, 31.46958927527453, 5, 12, 0.30638642620993406]",594.3799999996045
14,"[0.030593741717739875, 1.2328233974329237, 59.97326467137421, 2, 9, 0.11252731947216299]",608.0299999995921
15,"[0.20457883041158187, 0.6918909797393247, 63.64750812506382, 0, 10, 0.42548772798029955]",692.4699999995153
16,"[0.3039225907267281, 1.0542592773401522, 25.30043130949001, 1, 2, 0.36000940119435365]",649.869999999554
17,"[0.34042406194410135, 0.4637316471849444, 15.831421844523234, 11, 1, 0.028365000582253663]",655.439999999549
18,"[0.30328578135155226, 0.8629048368719867, 19.444512754502767, 9, 2, 0.07891691525137046]",709.1199999995001
19,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
20,"[0.747353895467787, 0.5635308866123605, 37.96099222351639, 5, 0, 0.041096641086659225]",623.9199999995776
21,"[0.747353895467787, 3.1362064317329605, 52.56734237985984, 5, 1, 0.041096641086659225]",611.5499999995889
22,"[0.9169022398508523, 2.3269425221151097, 5.749076152401301, 2, 0, 0.900606824803333]",617.7599999995832
23,"[0.23805758982493952, 2.1148397291467393, 7.433286329816028, 4, 3, 0.1253942666674105]",638.9599999995639
