,Genome,Laptime
0,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.7977668586353102]",555.1399999996402
1,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.7977668586353102]",555.2599999996401
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
3,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
4,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
5,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
6,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
7,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
8,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
9,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
10,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
11,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
12,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
13,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.7977668586353102]",555.1399999996402
14,"[0.8824920891351306, 1.1315077291833093, 50.30272993888322, 7, 0, 0.7977668586353102]",617.1499999995838
15,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.6972674354095347]",558.7299999996369
16,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.6972674354095347]",558.7299999996369
17,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
18,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
19,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
20,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
21,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
22,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",559.5899999996361
23,"[0.9646288007301632, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",558.7799999996369
24,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 0, 0.6972674354095347]",560.0599999996357
25,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 0, 0.6972674354095347]",560.0599999996357
26,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
27,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
28,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",561.4099999996345
29,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 15, 1, 0.6972674354095347]",565.0199999996312
30,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6972674354095347]",564.4199999996317
31,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
32,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
33,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6392861262508693]",565.8299999996304
34,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6392861262508693]",563.9299999996322
35,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 1, 0.6972674354095347]",566.1399999996302
36,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
37,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
38,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 3, 0, 0.38373060875811493]",576.4399999996208
39,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 3, 0, 0.38373060875811493]",576.8799999996204
40,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 7, 0, 0.38373060875811493]",578.0199999996194
