,Genome,Laptime
0,"[0.028592123949711334, 1.1315077291833093, 54.81887585253178, 15, 5, 0.6392861262508693]",580.8499999996168
1,"[0.008701350388989448, 1.0299121768771928, 29.415701190072532, 5, 1, 0.17043326720828522]",636.0499999995666
2,"[0.9169022398508523, 2.3269425221151097, 7.433286329816028, 15, 0, 0.1253942666674105]",619.7699999995814
3,"[0.16389979602533222, 2.805223630443411, 2.275452618014725, 9, 1, 0.658649161275827]",660.929999999544
4,"[0.4533386486190629, 1.2328233974329237, 59.97326467137421, 2, 9, 0.4489552808038826]",643.8799999995595
5,"[0.40798835443731507, 3.0975189151386004, 82.74896339148233, 7, 3, 0.14085919258381896]",598.9999999996003
6,"[0.19739621160056875, 0.4673869418069061, 31.46958927527453, 14, 12, 0.06821529800383175]",640.4399999995626
7,"[0.747353895467787, 3.1362064317329605, 34.35340651506313, 5, 1, 0.041096641086659225]",614.8499999995859
8,"[0.45762615672027285, 0.5635308866123605, 37.96099222351639, 5, 0, 0.2735743580180998]",599.8499999995995
9,"[0.34042406194410135, 2.4851861458844278, 48.863831040462685, 2, 14, 0.12183704136880391]",672.3599999995336
10,"[0.5409433132885644, 1.5504066436922166, 0.029551154523943524, 9, 2, 0.07891691525137046]",769.3499999994453
11,"[0.6004514789564793, 1.0542592773401522, 42.270640134564914, 12, 2, 0.09890192474556436]",661.2899999995436
12,"[0.9812779901108637, 0.07382318886992856, 25.126897524994476, 14, 12, 0.2881589319550084]",634.9199999995676
13,"[0.9781426310700859, 0.4637316471849444, 15.831421844523234, 11, 1, 0.028365000582253663]",673.2499999995327
14,"[0.01936464802830573, 1.1546854667207511, 71.5329722064495, 5, 2, 0.30638642620993406]",641.3399999995618
15,"[0.22015495410334784, 3.69122126121704, 5.749076152401301, 2, 0, 0.900606824803333]",618.049999999583
16,"[0.493470755146605, 1.625399246278727, 6.848894798099423, 1, 3, 0.16949339911700056]",637.9099999995649
17,"[0.9646288007301632, 3.2836213765628983, 14.939241740421352, 3, 1, 0.6972674354095347]",598.6099999996006
18,"[0.043290063706541204, 1.8693995589508936, 78.53583435479172, 13, 1, 0.016513476590283904]",628.1199999995738
19,"[0.23805758982493952, 2.1148397291467393, 21.444340866728425, 4, 3, 0.03809102615034843]",620.2699999995809
20,"[0.06099572942318343, 2.1764636567819946, 0.49113258239205493, 7, 1, 0.38373060875811493]",635.7199999995669
21,"[0.8164715791511008, 1.455440244043705, 52.56734237985984, 9, 1, 0.0873227202178728]",617.2499999995837
22,"[0.4290510205079159, 1.3100677313095046, 81.22028955042369, 13, 12, 0.03856596610044649]",731.4699999994798
23,"[0.995683982891057, 2.51612667741386, 2.302213804250343, 13, 1, 0.699400822585779]",623.8399999995777
24,"[0.4490152839644358, 0.10483362756363812, 27.26424802664451, 9, 11, 0.4047674395979389]",625.5799999995761
25,"[0.30328578135155226, 0.8629048368719867, 19.444512754502767, 9, 11, 0.3534231408354517]",744.2599999994682
26,"[0.1327885608010264, 0.9751724263728381, 63.64750812506382, 12, 10, 0.42548772798029955]",654.27999999955
27,"[0.60086967090163, 0.32710626578566204, 5.743675541702984, 12, 14, 0.7500407084630648]",727.5699999994833
28,"[0.030593741717739875, 2.7077154003666566, 18.554615147686732, 9, 4, 0.11252731947216299]",643.7199999995596
29,"[0.8824920891351306, 1.2667889181505134, 50.30272993888322, 5, 0, 0.7977668586353102]",583.1399999996147
30,"[0.3039225907267281, 1.0349600961320684, 25.30043130949001, 1, 12, 0.36000940119435365]",664.5199999995407
31,"[0.20457883041158187, 0.6918909797393247, 79.93539837655072, 0, 5, 0.10528449015415775]",646.8599999995567
