,Genome,Laptime
0,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
1,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
2,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
3,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.7999999996359
4,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.7977668586353102]",558.619999999637
5,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
6,"[0.747353895467787, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",563.5999999996325
7,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
8,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
9,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 1, 0.6972674354095347]",566.8099999996296
10,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
11,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
12,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
13,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
14,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
15,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
16,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6392861262508693]",565.8299999996304
17,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.38373060875811493]",589.2399999996092
18,"[0.40798835443731507, 1.1315077291833093, 37.96099222351639, 5, 0, 0.38373060875811493]",579.1099999996184
19,"[0.40798835443731507, 3.2836213765628983, 37.96099222351639, 7, 0, 0.38373060875811493]",578.1799999996192
20,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.38373060875811493]",579.1799999996183
21,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
22,"[0.747353895467787, 1.1315077291833093, 37.96099222351639, 7, 0, 0.11252731947216299]",598.9099999996004
23,"[0.747353895467787, 1.2328233974329237, 37.96099222351639, 3, 0, 0.30638642620993406]",581.769999999616
24,"[0.06099572942318343, 1.1315077291833093, 29.415701190072532, 2, 9, 0.30638642620993406]",651.0999999995529
25,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
26,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 3, 0, 0.6972674354095347]",558.7299999996369
27,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
28,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
29,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",561.4099999996345
30,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
31,"[0.747353895467787, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",561.3299999996345
32,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
33,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
34,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 1, 0.7977668586353102]",563.7099999996324
35,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
36,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 15, 0, 0.6972674354095347]",564.3799999996318
37,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
38,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8699999996313
