,Genome,Laptime
0,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",561.4099999996345
1,"[0.9646288007301632, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",558.7799999996369
2,"[0.01936464802830573, 1.1315077291833093, 50.30272993888322, 5, 12, 0.30638642620993406]",589.6599999996088
3,"[0.747353895467787, 1.2328233974329237, 59.97326467137421, 5, 1, 0.11252731947216299]",641.8399999995613
4,"[0.747353895467787, 3.1362064317329605, 52.56734237985984, 5, 0, 0.041096641086659225]",610.9899999995894
5,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
6,"[0.8824920891351306, 1.1546854667207511, 31.46958927527453, 5, 0, 0.30638642620993406]",598.8299999996004
7,"[0.01936464802830573, 2.1764636567819946, 29.415701190072532, 5, 12, 0.30638642620993406]",607.9399999995921
8,"[0.06099572942318343, 2.1764636567819946, 37.96099222351639, 5, 1, 0.38373060875811493]",638.6099999995643
9,"[0.030593741717739875, 1.2328233974329237, 37.96099222351639, 5, 0, 0.11252731947216299]",610.0699999995902
10,"[0.747353895467787, 3.2836213765628983, 52.56734237985984, 5, 1, 0.041096641086659225]",611.5499999995889
11,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
12,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
13,"[0.01936464802830573, 1.1315077291833093, 31.46958927527453, 15, 0, 0.30638642620993406]",596.5299999996025
14,"[0.06099572942318343, 1.1546854667207511, 29.415701190072532, 5, 12, 0.30638642620993406]",597.7999999996014
15,"[0.40798835443731507, 0.5635308866123605, 29.415701190072532, 5, 1, 0.38373060875811493]",614.4299999995862
16,"[0.030593741717739875, 0.5635308866123605, 37.96099222351639, 2, 9, 0.11252731947216299]",601.9199999995976
17,"[0.030593741717739875, 1.2328233974329237, 59.97326467137421, 2, 9, 0.041096641086659225]",623.489999999578
18,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 3, 0, 0.041096641086659225]",609.2799999995909
19,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 1, 0.7977668586353102]",563.7099999996324
20,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6972674354095347]",564.9499999996312
21,"[0.01936464802830573, 1.1546854667207511, 29.415701190072532, 5, 1, 0.30638642620993406]",637.729999999565
22,"[0.06099572942318343, 2.1764636567819946, 37.96099222351639, 5, 0, 0.38373060875811493]",606.1699999995938
23,"[0.030593741717739875, 1.2328233974329237, 37.96099222351639, 5, 0, 0.14085919258381896]",622.7599999995787
24,"[0.747353895467787, 3.2836213765628983, 52.56734237985984, 5, 0, 0.041096641086659225]",610.9899999995894
25,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
26,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
27,"[0.01936464802830573, 1.1315077291833093, 50.30272993888322, 5, 12, 0.6392861262508693]",573.7699999996232
28,"[0.06099572942318343, 2.1764636567819946, 31.46958927527453, 5, 12, 0.38373060875811493]",636.679999999566
29,"[0.40798835443731507, 2.1764636567819946, 37.96099222351639, 5, 0, 0.38373060875811493]",578.0999999996193
30,"[0.40798835443731507, 0.5635308866123605, 37.96099222351639, 2, 0, 0.14085919258381896]",596.039999999603
31,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 3, 1, 0.7977668586353102]",560.5099999996353
32,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.7977668586353102]",558.619999999637
