,Genome,Laptime
0,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
1,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
3,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
4,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
5,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
6,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
7,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
8,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
9,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
10,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
11,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
12,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
13,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",559.5899999996361
14,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
15,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
16,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
17,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
18,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
19,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
20,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
21,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
22,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
23,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",558.7599999996369
24,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",564.5299999996316
25,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6392861262508693]",565.9899999996303
26,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
27,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
28,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8699999996313
29,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
30,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
31,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 3, 0, 0.6972674354095347]",561.7099999996342
32,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
33,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
34,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
35,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 5, 0, 0.6972674354095347]",564.149999999632
36,"[0.40798835443731507, 1.1315077291833093, 37.96099222351639, 5, 0, 0.38373060875811493]",579.1099999996184
37,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.11252731947216299]",597.4499999996017
38,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
