,Genome,Laptime
0,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
1,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
3,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
4,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
5,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
6,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
7,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
8,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
9,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
10,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
11,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
12,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
13,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
14,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",560.9799999996349
15,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
16,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
17,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 3, 1, 0.6972674354095347]",566.5899999996298
18,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",567.9899999996285
19,"[0.747353895467787, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",563.5999999996325
20,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
21,"[0.747353895467787, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",564.0099999996321
22,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
23,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",564.5299999996316
24,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6392861262508693]",563.9299999996322
25,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
26,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
27,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
28,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6972674354095347]",564.9499999996312
29,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
30,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
31,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
32,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
33,"[0.40798835443731507, 3.2836213765628983, 37.96099222351639, 5, 0, 0.38373060875811493]",578.1799999996192
34,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 5, 0, 0.11252731947216299]",596.2199999996028
35,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",559.5899999996361
36,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
37,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
38,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
39,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
