,Genome,Laptime
0,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
1,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
3,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
4,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
5,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
6,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
7,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 3, 0, 0.7977668586353102]",555.9699999996394
8,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
9,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
10,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
11,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
12,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
13,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
14,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.6972674354095347]",559.2999999996364
15,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
16,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
17,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
18,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
19,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
20,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
21,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 0, 0.6972674354095347]",560.0599999996357
22,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 3, 0, 0.6972674354095347]",561.7099999996342
23,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
24,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 5, 0, 0.6972674354095347]",564.149999999632
25,"[0.747353895467787, 3.0975189151386004, 50.30272993888322, 5, 0, 0.6972674354095347]",564.149999999632
26,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",564.5299999996316
27,"[0.747353895467787, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6972674354095347]",565.0499999996312
28,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
29,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8699999996313
30,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
31,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6392861262508693]",565.8299999996304
32,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
33,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 1, 0.6972674354095347]",566.7599999996296
34,"[0.9646288007301632, 3.2836213765628983, 37.96099222351639, 7, 0, 0.38373060875811493]",578.459999999619
35,"[0.40798835443731507, 3.2836213765628983, 82.74896339148233, 5, 0, 0.38373060875811493]",574.8599999996222
36,"[0.8824920891351306, 1.1315077291833093, 82.74896339148233, 7, 0, 0.6972674354095347]",559.5899999996361
37,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
38,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
39,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",555.30999999964
