,Genome,Laptime
0,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 0, 0.7977668586353102]",554.7799999996405
1,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
2,"[0.8824920891351306, 3.2836213765628983, 82.74896339148233, 3, 0, 0.6972674354095347]",558.7299999996369
3,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 3, 1, 0.7977668586353102]",560.4099999996354
4,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
5,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 3, 1, 0.6972674354095347]",562.5699999996334
6,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8099999996314
7,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 15, 0, 0.6392861262508693]",564.8699999996313
8,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
9,"[0.9646288007301632, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
10,"[0.40798835443731507, 1.1315077291833093, 50.30272993888322, 5, 0, 0.38373060875811493]",578.1299999996193
11,"[0.40798835443731507, 0.5635308866123605, 50.30272993888322, 5, 12, 0.30638642620993406]",668.9999999995366
12,"[0.40798835443731507, 0.5635308866123605, 31.46958927527453, 15, 0, 0.14085919258381896]",621.1899999995801
13,"[0.06099572942318343, 1.1315077291833093, 29.415701190072532, 15, 0, 0.30638642620993406]",600.5299999995989
14,"[0.06099572942318343, 1.1546854667207511, 31.46958927527453, 5, 12, 0.30638642620993406]",603.5699999995961
15,"[0.06099572942318343, 0.5635308866123605, 37.96099222351639, 2, 9, 0.38373060875811493]",600.7699999995987
16,"[0.747353895467787, 1.2328233974329237, 37.96099222351639, 3, 0, 0.11252731947216299]",600.409999999599
17,"[0.030593741717739875, 1.2328233974329237, 52.56734237985984, 5, 0, 0.041096641086659225]",645.7599999995577
18,"[0.747353895467787, 3.2836213765628983, 52.56734237985984, 5, 0, 0.041096641086659225]",610.9899999995894
19,"[0.747353895467787, 3.1362064317329605, 52.56734237985984, 5, 1, 0.041096641086659225]",611.5499999995889
20,"[0.9646288007301632, 3.2836213765628983, 29.415701190072532, 7, 1, 0.38373060875811493]",592.1999999996065
21,"[0.9646288007301632, 3.2836213765628983, 82.74896339148233, 7, 1, 0.6972674354095347]",561.4099999996345
22,"[0.8824920891351306, 3.0975189151386004, 82.74896339148233, 7, 0, 0.6972674354095347]",559.0499999996366
23,"[0.747353895467787, 3.2836213765628983, 50.30272993888322, 7, 0, 0.6972674354095347]",564.149999999632
24,"[0.747353895467787, 3.2836213765628983, 82.74896339148233, 3, 1, 0.6972674354095347]",561.3299999996345
25,"[0.9646288007301632, 3.0975189151386004, 82.74896339148233, 7, 1, 0.6972674354095347]",560.5999999996352
26,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 1, 0.7977668586353102]",563.7099999996324
27,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 1, 0.6392861262508693]",567.7499999996287
28,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 15, 0, 0.6972674354095347]",564.5799999996316
29,"[0.9646288007301632, 1.1315077291833093, 50.30272993888322, 7, 0, 0.6972674354095347]",598.3499999996009
30,"[0.9646288007301632, 3.0975189151386004, 50.30272993888322, 7, 0, 0.6972674354095347]",565.5199999996307
31,"[0.01936464802830573, 1.1315077291833093, 37.96099222351639, 5, 0, 0.6392861262508693]",646.579999999557
32,"[0.40798835443731507, 1.1315077291833093, 37.96099222351639, 2, 0, 0.30638642620993406]",583.3799999996145
